Position_X,Position_Y,Velocity_X,Velocity_Y,Rotation_X,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Horizontal,Jump
-291.3835,-8.549989,0.01371742,-7.999987,1,10,3.370674,3.700001,3.70035,2.616516,1.838466,1.300001,1.838496,0,-1,1
-291.3832,-12.04999,1.881675E-05,-20.00004,1,1.383179,0.2828532,0.2000017,0.2828512,2.616791,3.700686,4.800001,10,0,-1,1
-291.3832,-12.04999,0,0,1,1.383179,0.2828532,0.2000017,0.2828512,2.616791,3.700686,4.800001,10,0,-1,1
-289.3831,-8.551007,10,12.4949,1,10,2.402761,2.699004,5.231137,4.616852,1.839948,1.30103,1.839936,0,-1,1
-287.3831,-8.549969,10,-7.999944,1,10,2.404219,1.700048,5.232636,6.616882,1.838465,2.299976,6.081096,0,-1,1
-289.0539,-10.05002,-10,0,-1,4.053864,0.2828337,1.19998,3.111213,4.946106,3.959856,2.800046,8.202497,0,-1,1
-287.0538,-10.05002,10,0,1,2.053802,0.2828451,0.1999922,0.2828472,6.946136,3.959862,3.81304,10,0,-1,1
-287.0538,-10.05002,0,0,1,2.053802,0.2828451,0.1999922,0.2828472,6.946136,3.959862,3.81304,10,0,-1,1
-285.0538,-6.551041,10,12.4949,1,10,3.816922,3.698959,5.231148,2.946198,1.839942,1.314144,8.561278,0,-1,0
-286.3885,-6.649999,0,-9.000044,-1,10,3.676997,3.600011,7.919569,1.611481,0.8648257,1.400002,3.394112,0,-1,0
-287.8892,-10.05002,-9.958848,-12.00039,-1,2.88916,0.2828512,0.2000017,0.2828539,6.110809,3.959836,3.821344,10,0,-1,0
-285.8891,-6.967535,10,14.4949,1,10,3.227911,3.282471,7.470532,2.11087,1.571021,1.717542,3.8432,0,-1,0
-285.7227,-6.283327,0.01371742,-4.999986,1,10,4.19552,3.966679,8.438142,2.277283,1.461344,1.033334,2.875562,0,-1,0
-283.8888,-9.050019,9.986301,-13.00084,1,10,0.2828519,0.2000017,0.2828539,10,4.399902,4.800025,8.358771,0,-1,0
-285.8889,-6.049995,-10,12.02112,-1,10,4.525504,4.200011,8.768126,1.111145,1.131382,0.8000021,1.131389,0,-1,0
-284.2217,-7.383323,9.972565,-13.99997,1,10,2.639902,1.866699,4.05412,9.778229,3.016983,3.133328,8.673795,0,-1,0
-285.9012,-7.617033,-10,20.4949,-1,10,2.309401,2.632974,3.723615,8.098724,1.933284,2.36704,9.759787,0,-1,0
-286.0677,-6.283329,-0.01371742,-5,-1,10,4.195519,3.966678,8.438138,1.93222,1.318447,1.033336,2.875563,0,-1,0
-286.068,-9.383329,-1.881675E-05,-23,-1,1.067963,1.225657,0.8666782,1.225666,7.932007,3.017026,4.133336,10,0,-1,1
-287.9569,-8.049973,-10,-1.483669,-1,10,3.111324,2.200048,5.939713,6.04306,1.131361,1.922842,3.959778,0,-1,1
-289.957,-10.44671,-10,-19.48367,-1,0.9569702,1.136046,0.8033209,2.550225,4.04303,4.520835,3.196726,8.763479,0,-1,1
-290.0681,-11.05002,0,0,-1,1.068054,0.2828539,1.199979,1.697022,3.931915,5.37404,3.800041,9.616688,0,-1,1
-288.566,-8.049975,9.876543,2.861023E-05,1,10,3.111324,2.20005,5.939708,5.43396,1.131361,0.8000016,3.959777,0,-1,1
-288.4016,-9.94997,0.01354806,-16.99997,1,3.401581,0.4243358,0.3000546,0.4243385,5.598389,3.818353,2.699997,10,0,-1,1
-290.2904,-8.049984,-10,-4.291534E-05,-1,10,3.111327,4.200014,5.246154,3.709564,1.131382,0.8000021,1.131366,0,-1,1
-292.2905,-10.14999,-10,-18.00004,-1,7.290436,2.969857,2.09999,2.417643,1.709534,2.417607,2.900001,4.101247,0,-1,1
-290.6114,-10.61699,10,20.4949,1,1.61142,0.8952416,1.633003,2.309402,3.38858,4.761654,3.367008,7.590089,0,-1,1
-292.2786,-8.049994,-9.972565,4.535465,-1,10,4.525498,4.199989,2.434465,1.721436,1.131361,0.8000011,1.131366,0,-1,1
-292.4445,-9.549996,-0.01367978,-15.00002,-1,7.444519,3.457033,2.699986,2.199776,1.555481,2.199741,2.300004,3.252715,0,-1,0
-290.6093,-12.04999,10,0,1,0.6092834,0.282858,0.2000084,0.2828344,3.390686,4.795115,4.800004,0.8617169,0,-1,0
-292.6094,-8.551007,-10,12.4949,-1,10,3.817001,3.698974,1.96663,1.390594,1.839915,1.301014,1.839924,0,-1,0
-293.4983,-8.549998,0,-8,-1,10,4.947289,3.699976,0.709488,0.501709,0.7094839,1.300001,1.838474,0,-1,0
-291.6647,-12.04999,9.986282,-19.99964,1,1.664673,0.2828532,0.2000027,0.2828303,2.335297,3.302595,4.799997,10,0,-1,0
-291.6647,-8.967502,0,14.4949,1,10,3.22795,3.282486,3.302602,2.335297,2.428915,1.717514,2.428947,0,-1,0
-291.6647,-8.283324,0,-5,1,10,3.768421,3.966663,3.302578,2.335266,1.461346,1.033336,1.461353,0,-1,0
-291.6647,-11.38332,0,-23,1,1.664703,1.225677,0.8666639,1.225646,2.335297,3.302592,4.133336,8.673841,0,-1,0
-293.55,-12.04998,-9.890625,0,-1,3.549957,0.2828451,0.1999903,0.2828209,0.4500122,0.63641,4.799986,6.788245,0,-1,0
-293.55,-8.551003,0,12.4949,-1,10,5.020398,3.69897,0.6363992,0.4499817,0.6363736,1.301006,1.839918,0,-1,0
-291.7164,-8.54999,9.986282,-7.999944,1,10,3.818393,3.699998,3.22949,2.283569,1.838465,1.300001,1.838495,0,1,1
-289.7166,-11.05002,10,0,1,0.7165833,0.2828479,0.2000008,0.2828344,4.283386,5.374041,3.800041,1.013421,0,1,1
-291.7167,-8.049991,-10,-2.861023E-05,-1,10,3.841946,4.199996,3.229099,2.283295,1.131361,0.8000016,1.131388,0,1,1
-291.8831,-10.15,-0.01371742,-18.00003,-1,6.883118,2.663134,2.09999,2.969812,2.116852,2.993639,2.900007,4.101252,0,1,1
-291.8834,-12.04998,0,0,-1,1.883362,0.2828532,0.2000017,0.2828519,2.116608,2.993323,4.799994,9.616641,0,1,1
-293.439,-8.551003,-6.666667,12.4949,-1,10,4.863434,3.698971,0.7933453,0.5609741,0.7933615,1.301006,1.839919,0,1,1
-291.7164,-8.54999,9.977138,-7.999944,1,10,3.818393,3.699998,3.229533,2.2836,1.838465,1.300001,1.838474,0,1,1
-289.7167,-11.05002,10,0,1,0.7167053,0.2828262,0.2000008,0.2828344,4.283264,5.374062,3.800041,1.013615,0,1,1
-289.7167,-11.05002,0,0,1,0.7167053,0.2828262,0.2000008,0.2828344,4.283264,5.374062,3.800041,1.013615,0,1,1
-289.7167,-11.05002,0,0,1,0.7167053,0.2828262,0.2000008,0.2828344,4.283264,5.374062,3.800041,1.013615,0,1,1
-289.7167,-11.05002,0,0,1,0.7167053,0.2828262,0.2000008,0.2828344,4.283264,5.374062,3.800041,1.013615,0,-1,1
-289.7167,-11.05002,0,0,1,0.7167053,0.2828262,0.2000008,0.2828344,4.283264,5.374062,3.800041,1.013615,0,-1,1
