#{"t_start": 1697544836.120835, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.204364
12.0,12,0.207642
16.0,16,0.32175
16.0,16,0.326066
30.0,30,0.368739
12.0,12,0.406768
13.0,13,0.410422
31.0,31,0.453581
10.0,10,0.456224
15.0,15,0.495071
11.0,11,0.497996
24.0,24,0.54005
18.0,18,0.544857
30.0,30,0.588142
39.0,39,0.631774
209.0,209,0.918818
82.0,82,1.041347
113.0,113,1.16869
96.0,96,1.290879
