#{"t_start": 1697544836.1200151, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.206305
10.0,10,0.208991
20.0,20,0.324223
17.0,17,0.328771
41.0,41,0.409321
14.0,14,0.413085
20.0,20,0.453256
24.0,24,0.494361
20.0,20,0.499934
12.0,12,0.538548
20.0,20,0.544091
13.0,13,0.582793
16.0,16,0.587132
25.0,25,0.627109
95.0,95,0.750783
100.0,100,0.877909
94.0,94,1.002371
92.0,92,1.125574
86.0,86,1.213199
46.0,46,1.289257
