#{"t_start": 1697544836.1179059, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.207803
15.0,15,0.21187
18.0,18,0.326603
41.0,41,0.372216
32.0,32,0.415735
25.0,25,0.45726
13.0,13,0.46071
25.0,25,0.5023
26.0,26,0.544799
14.0,14,0.548531
16.0,16,0.588134
55.0,55,0.66846
52.0,52,0.716121
98.0,98,0.84134
75.0,75,0.9604
94.0,94,1.085317
82.0,82,1.172137
89.0,89,1.2922
