#{"t_start": 1697544836.118432, "env_id": "CartPole-v1"}
r,l,t
37.0,37,0.323552
33.0,33,0.367044
24.0,24,0.373624
21.0,21,0.414098
21.0,21,0.454461
16.0,16,0.458872
16.0,16,0.497995
24.0,24,0.504433
18.0,18,0.544855
14.0,14,0.548578
12.0,12,0.587018
23.0,23,0.626456
32.0,32,0.667316
57.0,57,0.716456
46.0,46,0.793582
42.0,42,0.838833
125.0,125,1.005289
75.0,75,1.090937
72.0,72,1.20803
99.0,99,1.331647
