#{"t_start": 1697544836.1192691, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.20675
21.0,21,0.322065
11.0,11,0.325288
14.0,14,0.328972
30.0,30,0.371709
16.0,16,0.410904
20.0,20,0.416222
14.0,14,0.454836
21.0,21,0.495006
30.0,30,0.503321
32.0,32,0.547469
13.0,13,0.586232
44.0,44,0.63126
91.0,91,0.753895
70.0,70,0.839398
193.0,193,1.089573
64.0,64,1.17186
93.0,93,1.293341
