#{"t_start": 1697544836.119634, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.205203
19.0,19,0.210449
16.0,16,0.324571
24.0,24,0.365513
25.0,25,0.372471
59.0,59,0.45797
11.0,11,0.49566
15.0,15,0.499733
15.0,15,0.539348
20.0,20,0.54475
57.0,57,0.62854
41.0,41,0.671621
51.0,51,0.751451
78.0,78,0.839066
71.0,71,0.923799
99.0,99,1.083252
131.0,131,1.248159
48.0,48,1.292688
