#{"t_start": 1697544836.1188931, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.207953
13.0,13,0.211468
15.0,15,0.325267
13.0,13,0.328769
17.0,17,0.367911
31.0,31,0.411245
20.0,20,0.416569
18.0,18,0.456312
22.0,22,0.496959
22.0,22,0.502875
16.0,16,0.54277
22.0,22,0.583818
23.0,23,0.590033
28.0,28,0.630833
79.0,79,0.750255
80.0,80,0.838457
38.0,38,0.882186
123.0,123,1.048023
91.0,91,1.169484
95.0,95,1.291259
